Topics,Year,Start date,End date,Location,Category type,Category,Form,N part,N Female,1,2,3,4,5,6,NA,"total
 (Rel)",%Rel,1,2,3,4,5,6,NA,total (Impr),%Impr,,,,
Ecosystem Accounting in Support of the Sustainable Development Goals and Global Biodiversity Framework ,2025,09/08/2025,09/11/2025,Jakarta,Regional,Envi,F,42,24,,,,2,10,30,,42,95%,,,,3,8,31,,42,93%,3183,3908,0.814483112,<-as of Sep 30
Agriculture Statistics Capacity Building Workshop ,2025,10/06/2025,10/10/2025,Chiba,Regional,NA,F,21,8,,,,,11,10,,21,100%,,,,,5,16,,21,100%,,,,
Sub-regional Workshop on Data Visualization,2025,10/08/2025,10/10/2025,Astana,Regional,methodology,F,23,12,,,,,6,9,,15,100%,,,,1,6,8,,15,93%,,,,
Crime Statistics from a Gender Perspective 3.0,2025,8/18/2025,10/10/2025,-,E-learn,POS,EL,164,100,0,0,3,12,50,99,,164,91%,0,1,0,16,70,77,,164,90%,,,,
Subregional Workshop on International Recommendations in Preparation for the 2030 Round of Population and Housing Censuses in the Pacific ,2025,10/13/2025,10/17/2025,Nadi,Subregional,POS,F,26,17,0,0,0,0,6,20,,26,100%,0,0,0,0,10,16,,26,100%,,,,
Theory and Practice in Official Statistics for Monitoring SDGs,2025,7/28/2025,10/31/2025,Chiba,Regional,JICA,F ,17,5,0,0,0,0,7,10,,17,100%,0,0,0,2,8,7,,17,88%,,,,
Regional course on statistics on informality,2025,10/27/2025,10/31/2025,Chiba,Regional,NA,F,10,3,,,,,5,5,,10,100%,,,,,4,6,,10,100%,,,,
Regional Workshop on Disaster Related Statistics,2025,10/27/2025,10/31/2025,Daejeon,Regional,Envi,F,27,14,,,,,,,,,,,,,,,,,,,,,,
Training on Big Data and Data Science for Gender Statistics in Asia and the Pacific ,2025,10/26/2025,10/30/2025,Bangkok,Regional,methodology,F ,13,9,1,0,0,0,3,8,,12,92%,0,0,0,1,5,6,,12,92%,,,,
Introduction to concepts and methods related to the monetary valuation of ecosystem services and ecosystem assets,2025,10/06/2025,11/07/2025,-,E-learn,Envi,EL,384,214,,,,,,,,,,,,,,,,,,,,,,
Webinar Regional Training Course on the National Strategy for the Development of Statistics (NSDS),2025,11/18/2025,11/20/2025,-,Webinar,management,W,127,76,,,,6,20,26,,52,88%,,,,15,15,22,,52,71%,3464,4225,0.819881657,
Measuring the Sustainability of Tourism in Asia and the Pacific,2025,11/18/2025,11/20/2025,Brunei,Regional,Envi,F ,13,8,,,,,,,,,,,,,,,,,,,,,,
